id,time,side,grade,pattern,entry,sl,tp1,rng10,body_p,htf,result,exit,pips
1780613675,2026-06-05 00:54,SHORT,A+,zone-bounce rejection,4470.5,4472.0,4469.9,67,10,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT into RSI 26.7 (deeply oversold = selling exhaustion), only 5p room with negative R:R (TP1 +6p vs SL -15p ≈ 0.4 R:R), and ER 0.37 = chop not trend. Fails counter-trend, oversold-chasing, no-room, and neg-R:R rules simultaneously."
1780613794,2026-06-05 00:56,SHORT,A+,zone-bounce rejection,4470.33,4471.83,4469.73,67,9,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Repeat counter-trend SHORT camping at 4470: RSI 31.5 oversold, 3p room, neg R:R (+6p TP vs -15p SL). Same setup rejected 3x this hour — overnight chop pinning the 4470 round level. No edge."
1780613855,2026-06-05 00:57,LONG,C-into-zone,CRT sweep+reclaim,4471.61,4469.86,4474.11,63,12,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"ER 0.20 = dead chop (below 0.3 floor), grade only C. Gold oscillating the 4470/4471 round level overnight — the 228p 'room' is illusory with no trend to carry it. Skip per dead-chop rule."
1780614090,2026-06-05 01:01,SHORT,A+,break-and-retest,4468.43,4469.93,4465.94,38,28,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT, ER 0.30 at the chop floor (no trend to carry it), RSI 33.6 leaning oversold = selling into weakness. Gold still chopping the 4468-4471 zone overnight. Skip counter-trend-in-chop."
1780614149,2026-06-05 01:02,SHORT,A+,support-trendline break,4464.68,4466.43,4464.08,73,35,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT into RSI 26.7 (deeply oversold), 8p room with neg R:R (+6p TP vs -17.5p SL), ER 0.36 chop. Shorting the oversold bottom of the overnight drift — no edge."
1780614304,2026-06-05 01:05,LONG,A+,CRT sweep+reclaim,4470.38,4468.63,4472.88,81,14,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Chart shows sideways chop box 4464-4476 after the dump from 4515, with flat EMAs stacked overhead at ~4476-4480. LONG @ 4470 TP1 4472.88 buys mid-range straight into that EMA resistance (~6p real room, not 241p). ER 0.35 = range not trend, off-session. No-room-into-overhead + chop."
1780614331,2026-06-05 01:05,LONG,A+,CRT sweep+reclaim,4471.31,4469.56,4473.81,81,13,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Same mid-range chop long as prior tick (4471 now): TP1 4473.81 into flat EMA resistance ~4476-4480, ER 0.35 range, off-session. Box 4464-4476 still unbroken — no trade until it breaks out."
1780614405,2026-06-05 01:06,LONG,A+,CRT sweep+reclaim,4468.06,4466.31,4468.98,81,1,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Negative R:R: TP1 4468.98 only +9p vs SL 4466.31 -17.5p (~0.5 R:R). ER up to 0.48 but still inside the unbroken 4464-4476 box, off-session. Risking 17.5 to make 9 mid-range = no edge."
1780614704,2026-06-05 01:11,SHORT,A+,zone-bounce rejection,4471.5,4473.0,4470.84,93,4,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT with neg R:R (TP1 +6.6p vs SL -15p ~0.44), 15p room, still inside the 4464-4476 box. Neutral RSI/ER don't redeem a counter-trend fade risking 15 to make 6.6."
1780614811,2026-06-05 01:13,SHORT,A+,zone-bounce rejection,4471.22,4472.97,4470.62,71,12,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT at box top ~4471, neg R:R (TP1 +6p vs SL -17.5p), 12p room, ER 0.37. Same boxed-chop fade — no edge until 4464-4476 breaks."
1780614870,2026-06-05 01:14,SHORT,A+,CRT sweep+reclaim,4471.26,4473.01,4470.66,71,6,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT at box top ~4471, neg R:R (+6p TP vs -17.5p SL), 13p room. ER 0.44 but still fading inside the 4464-4476 box — same no-edge setup."
1780614989,2026-06-05 01:16,SHORT,A+,zone-bounce rejection,4470.48,4471.98,4469.88,71,4,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT, ER 0.28 = dead chop (below 0.3 floor), 5p room, neg R:R (+6p vs -15p). Boxed 4464-4476, no trend. Hard skip."
1780615240,2026-06-05 01:20,SHORT,A+,zone-bounce rejection,4468.77,4470.27,4466.27,54,13,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT into the box floor: TP1 4466.27 is 2p above the 4464 range low (real room tiny, not 49p). ER 0.41 but still inside the 4464-4476 box, off-session. Counter-trend fade into support — skip."
1780615409,2026-06-05 01:23,LONG,C-into-zone,CRT sweep+reclaim,4468.96,4467.21,4469.56,52,5,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Grade C, neg R:R (TP1 +6p vs SL -17.5p ~0.34), 10p room, still boxed 4464-4476. Risking 17.5 to make 6 on a C setup — no edge."
1780615470,2026-06-05 01:24,LONG,C-into-zone,CRT sweep+reclaim,4471.26,4469.51,4473.76,49,6,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Grade C, ER 0.32 near chop floor, TP1 4473.76 into the 4476 box ceiling/EMAs (232p room illusory). Still ranging 4464-4476 — no trade until breakout."
1780615555,2026-06-05 01:25,LONG,C-into-zone,momentum impulse,4473.01,4471.26,4475.51,64,14,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Grade C, ER 0.31 chop floor, TP1 4475.51 into the 4476 box ceiling. Still ranging 4464-4476 — no trade."
1780615657,2026-06-05 01:27,SHORT,A+,zone-bounce rejection,4470.87,4472.62,4470.27,68,3,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT, neg R:R (+6p TP vs -17.5p SL), 9p room, ER 0.36, boxed 4464-4476. Same no-edge fade."
1780615893,2026-06-05 01:31,SHORT,A+,zone-bounce rejection,4464.71,4466.52,4464.09,93,9,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Counter-trend SHORT at the 4464 box floor into RSI 33.8 oversold, neg R:R (+6p vs -18p), 8p room, ER 0.34. Shorting support in chop — skip."
1780616129,2026-06-05 01:35,LONG,A+,CRT sweep+reclaim,4465.86,4464.06,4466.48,93,3,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Neg R:R (TP1 +6p vs SL -18p ~0.34), 3p room, at the 4464 box low. With-trend but no room — risking 18 to make 6. Skip."
1780616324,2026-06-05 01:38,LONG,A+,zone-bounce rejection,4463.9,4462.32,4465.01,67,9,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Sub-1 R:R (TP1 +11p vs SL -15.8p ~0.7) and entry 4463.9 is at/below the 4464 box floor = breakdown risk. RSI 35.5, off-session. Reward < risk on a vulnerable level — skip."
1780616428,2026-06-05 01:40,LONG,A+,CRT sweep+reclaim,4464.33,4462.52,4465.18,44,4,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,Sub-1 R:R (TP1 +8.5p vs SL -18p ~0.47) at the 4464 box floor. ER 0.52 with-trend but reward < half the risk on a breakdown-prone level — skip.
1780616554,2026-06-05 01:42,LONG,A+,CRT sweep+reclaim,4464.93,4463.08,4465.56,41,5,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Sub-1 R:R (TP1 +6p vs SL -18.5p ~0.34), 12p room, at 4464 box floor. ER 0.44 with-trend but compressed target — reward a third of risk. Skip."
1780616699,2026-06-05 01:44,LONG,A+,zone-bounce rejection,4462.94,4461.35,4464.62,48,10,"4479.33 (15m+15mEMA+1H+1HEMA, x19)",rejected,,"Chart shows a fresh breakdown below the 4464 box floor — price below all EMAs (50/100/200), lower lows, heading to next support ~4455-4458. LONG @ 4462.94 catches a falling knife; TP1 4464.62 needs a reversal back through the broken floor. 'With-trend' label stale — real momentum is down. Skip."
